EC,RA,MA,MB,CP,K2,L2,MI
1514855610243735.2,1102080.4525487775,3.957213999565212e+33,4.7267017248925943e+33,0.2666493658607985,0.03491789074185023,5.670449880676424e+35,2.139286148684228e+45
1540910567987680.0,1099553.7811942396,3.987435871517002e+33,4.771806320886283e+33,0.26930322419115194,0.033796938572013414,5.4257872593960236e+35,2.158553049293822e+45
1567413661394494.5,1096970.6029233627,4.016425433887345e+33,4.8153251461149595e+33,0.2718998932289133,0.03271459792269019,5.190623766251185e+35,2.1766793497783052e+45
1594372598232279.5,1094346.40535868,4.04406385837485e+33,4.857056020869873e+33,0.27442742264958486,0.03167499607079017,4.965850783716808e+35,2.193588869260173e+45
1621795218839910.8,1091681.6189254296,4.0704010295226923e+33,4.897048832314596e+33,0.27688888299296255,0.03067585773110131,4.750941929681582e+35,2.2093106470969458e+45
1649689498407193.5,1088986.4305174123,4.0953998282830394e+33,4.935222543223698e+33,0.27927892064275467,0.029718324717513015,4.546107299889441e+35,2.2238260288612946e+45
1678063549294276.8,1086259.2393570703,4.119123460475327e+33,4.971646809567323e+33,0.2816019406553585,0.02879967626548798,4.3506890062889116e+35,2.2371736049365448e+45
1706925623390891.2,1083464.37349554,4.141912907325892e+33,5.0068259358781537e+33,0.2838903596922001,0.027906242780569086,4.1617650865422976e+35,2.24954307870673e+45
1736284114516234.5,1080604.1879473745,4.1637580527289455e+33,5.04073198988172e+33,0.2861430204165045,0.02703810648998216,3.9793535220796446e+35,2.2609244600481703e+45
1766147560860090.5,1077728.250082651,4.1843260186585644e+33,5.0728321045789927e+33,0.28832384815391715,0.02620858273854474,3.806211252701781e+35,2.2711541481901098e+45
1796524647465980.2,1074823.525750668,4.20376603042704e+33,5.1033367387872707e+33,0.29044619444875935,0.025411535886794737,3.640992217638415e+35,2.2803188066699954e+45
1827424208756948.0,1071964.7084551933,4.221664565917269e+33,5.131571039366226e+33,0.29246072582128607,0.024664352937327088,3.487186556251201e+35,2.288252095287767e+45
1858855231104863.2,1069098.5548894536,4.238430399044404e+33,5.158149614007373e+33,0.29440937216553353,0.02395010260122321,3.341174114443309e+35,2.2951594473035936e+45
1890826855443868.8,1066174.85297176,4.2543770779875336e+33,5.1835508721064997e+33,0.29632743577039705,0.023255156157967825,3.20010664896874e+35,2.301173446649722e+45
1923348379928827.0,1063204.112797327,4.2694561113531054e+33,5.207686035056359e+33,0.29820864087383553,0.022581387568064198,3.064339515576322e+35,2.3062766337793646e+45
1956429262639410.5,1060173.6285895822,4.2837426216970805e+33,5.230665322152976e+33,0.3000617861311862,0.021925284765467394,2.9331430596589884e+35,2.3104977115629627e+45
1990079124330781.5,1057105.3418438858,4.2971507520936636e+33,5.252341337922462e+33,0.3018746469481377,0.021290834477790118,2.807288445127475e+35,2.313820419481829e+45
2024307751231534.5,1054120.375625969,4.3092277476600043e+33,5.271963514268245e+33,0.30358028011035504,0.02070055007792458,2.6911378469462183e+35,2.3161800281903213e+45
2059125097889810.2,1051112.3999827246,4.3204686343339065e+33,5.290314608983085e+33,0.3052432120179645,0.020131147865518867,2.5799860251322844e+35,2.317715860921153e+45
2094541290068282.0,1048120.0320296716,4.3307640249707435e+33,5.307200269535078e+33,0.30684412809940176,0.019588554816407804,2.4749163274472956e+35,2.3184370717273006e+45
2130566627689013.5,1045113.1769183746,4.340253658143947e+33,5.32283498541285e+33,0.3084012333386057,0.019065997630163756,2.374538246152139e+35,2.318382487121514e+45
2167211587828920.5,1042111.5493682936,4.348906775748407e+33,5.337155249277617e+33,0.30990615862323706,0.018565722463404905,2.2792182649550466e+35,2.3175796085592954e+45
2204486827766803.8,1039073.7126647193,4.356864169874274e+33,5.350382311081944e+33,0.3113809078404335,0.018079958647246732,2.18742030518279e+35,2.3160360624576942e+45
2242403188082701.8,1035998.195365012,4.3641394470957947e+33,5.362531824274047e+33,0.3128267898140279,0.017607977846396047,2.098976106795674e+35,2.3137616905662996e+45
2280971695810640.0,1032976.4340145875,4.3705584234599065e+33,5.373302992464764e+33,0.3142033665958881,0.017162542883899543,2.016214443702872e+35,2.3108627034423785e+45
2320203567645561.5,1029972.0754157514,4.376244997254305e+33,5.382889888993258e+33,0.3155298818506418,0.016736802847679505,1.937772414097517e+35,2.307346628542181e+45
2360110213205417.0,1026926.3193667807,4.3813275348459386e+33,5.391499345794857e+33,0.3168332513410604,0.016321749648568355,1.8619420180165868e+35,2.3031608341280042e+45
2400703238349404.5,1023866.5555551575,4.385771735596984e+33,5.399067176239755e+33,0.3181024288331621,0.015920653350758988,1.7892898112553535e+35,2.2983553277849535e+45
2441994448553191.5,1020885.5019909998,4.3894867962540815e+33,5.405429365382789e+33,0.31930155129630206,0.015544407410019955,1.721719383877457e+35,2.293116924374068e+45
2483995852342272.0,1017902.8967397468,4.392612429978827e+33,5.410814477254184e+33,0.3204651839544353,0.01518169238156321,1.6571238045198427e+35,2.2873410942424582e+45
2526719664784379.5,1014937.6068415282,4.3951505397048793e+33,5.415217409664206e+33,0.3215871802831726,0.014834083732749056,1.595733886795987e+35,2.2810853527171437e+45
2570178311041876.5,1011933.3582242714,4.3971610487754355e+33,5.418735218261581e+33,0.3226894578772775,0.014494535953583507,1.5362676876249857e+35,2.2742432872449933e+45
2614384429985345.5,1008891.2576905729,4.398645883892796e+33,5.421367039695919e+33,0.32377175490309784,0.014162975462252,1.4786974157585158e+35,2.2668230713393457e+45
2659350877869281.0,1005967.3032941113,4.399569775709324e+33,5.423043107224108e+33,0.3247810357513749,0.013855369500355721,1.4257403980191865e+35,2.259244560992225e+45
2705090732071001.0,1003069.409446345,4.4000052245597084e+33,5.423884057462528e+33,0.32575157486434814,0.013560862014777752,1.375451381983029e+35,2.2513082362720818e+45
2751617294893925.0,1000115.8671570837,4.399969721754033e+33,5.423917688148022e+33,0.32671094826138586,0.013270867366916104,1.3263370877477269e+35,2.2427969305413768e+45
2798944097436149.5,997182.2391500679,4.399472757754152e+33,5.423152933354112e+33,0.3276350953317275,0.012992514562092756,1.2795843001416726e+35,2.2339393469020616e+45
2847084903525667.5,994304.9107809227,4.398549507835234e+33,5.421645555442206e+33,0.3285142539543835,0.012728519906966182,1.2356026902489288e+35,2.2248730914900803e+45
2896053713723272.5,991452.6493907777,4.3972173514749646e+33,5.419423341767553e+33,0.3293595595338607,0.012475301192285244,1.1937515407855914e+35,2.2155255134254155e+45
2945864769394203.0,988617.9263613004,4.395490265640821e+33,5.416506350359722e+33,0.3301742190144193,0.01223170228953087,1.1538047569814017e+35,2.2058890476806053e+45
2996532556849940.0,985765.046794954,4.3933561539843286e+33,5.412870981414136e+33,0.3309689973780617,0.011994355700635997,1.11518524789893e+35,2.1958533895855562e+45
3048071811561177.5,982917.4292650898,4.390841920255204e+33,5.408562058490008e+33,0.3317378942050061,0.011764937447297457,1.0781466066165256e+35,2.1855127124853692e+45
3100497522443258.0,980118.238995334,4.3880053071210086e+33,5.403676132879548e+33,0.332470403834399,0.011546432404080811,1.0431414192067073e+35,2.1750414965691755e+45
3153824936215377.5,977352.2152609903,4.384853992036954e+33,5.398225016102289e+33,0.3331718902673765,0.01133712980284548,1.0098611029307157e+35,2.164406236394607e+45
3208069561834640.0,974625.0473928141,4.3814130123751347e+33,5.392250767091353e+33,0.3338419766877381,0.011136985553982738,9.782695041249204e+34,2.153645472957752e+45
3263247175006491.0,971867.3218247925,4.377602351641254e+33,5.385612802150288e+33,0.3344980938007026,0.010940677137201078,9.475063241734364e+34,2.142494063988695e+45
3319373822772730.0,969108.2252980074,4.3734661471417537e+33,5.37838589895412e+33,0.33513347315004316,0.010750151509436567,9.178654036988667e+34,2.1310766359576406e+45
3376465828178318.5,966388.7331174037,4.3690804695539104e+33,5.37070238229567e+33,0.33573954955910956,0.010567908411018598,8.897158918667914e+34,2.1195776886223837e+45
3434539795018581.0,963710.0110483342,4.364466171380747e+33,5.362597964141982e+33,0.33631720025988804,0.01039361299457006,8.62981352552038e+34,2.108019826648247e+45
